title,savedAt,query,language,article URL,main topic,stance / attitude towards,"Clickbaityness/credibility (0 is good, 1 is very bad)"
Fed interest rate decision today: Live updates on expected rate hike - USA TODAY,14/12/2022 18:11,,en,https://www.usatoday.com/story/money/economy/2022/12/14/fed-interest-rate-federal-reserve-meeting-live-updates/10867165002/,interest rate,2,0
Moscow police should hand over control of Idaho murder investigation: former FBI agent - New York Post ,14/12/2022 18:11,,en,https://nypost.com/2022/12/14/police-should-hand-idaho-murders-case-to-fbi-former-agent/,moscow police,2,0
World Cup 2022: Morocco fans' heartbreak as Doha flights cancelled - BBC,14/12/2022 18:11,,en,https://www.bbc.com/news/world-africa-63973938,World cup Morocco,2,0
"Scream 6 - Official Teaser Trailer (2023) Jenna Ortega, Melissa Barrera - IGN",14/12/2022 18:11,,en,https://www.youtube.com/watch?v=PesQLjkAEew,Scream 6,2,0
Mortgage demand inches higher as interest rates move lower - CNBC,14/12/2022 18:11,,en,https://www.cnbc.com/2022/12/14/mortgage-demand-inches-higher-as-interest-rates-move-lower-.html,interest rate,2,0
Sony and Nintendo's year in reviews reveal your top games of 2022 - Engadget,14/12/2022 18:11,,en,https://www.engadget.com/playstation-nintendo-year-in-review-tools-top-games-hours-logged-115542018.html,top games 2022,2,0
"Delta Air Lines raises Q4 earnings guidance, says 'momentum is building' - Yahoo Finance",14/12/2022 18:11,,en,https://finance.yahoo.com/news/delta-air-lines-raises-q-4-earnings-guidance-says-momentum-is-building-114623939.html,Delta Air Lines,3,0
At least four dead after boat capsizes in English Channel - CNN,14/12/2022 18:11,,en,https://www.cnn.com/2022/12/14/uk/english-channel-migrant-boat-deaths-intl-gbr/index.html,boat capsizes,2,0
"Carlos Correa signs with Giants: Star free agent lands in San Francisco on 13-year, $350 million contract - CBS Sports",14/12/2022 18:11,,en,https://www.cbssports.com/mlb/news/carlos-correa-signs-with-giants-star-free-agent-lands-in-san-francisco-on-13-year-350-million-contract/,Carlos Correa Giants,2,0
Jay Leno details how his 'face caught on fire' in first interview since accident - CNN,14/12/2022 18:11,,en,https://www.cnn.com/2022/12/13/entertainment/jay-leno-burn-accident-interview/index.html,Jay Leno fire,2,0
"The 7 things you need to know for Wednesday, December 14 - The Washington Post",14/12/2022 18:11,,en,https://www.washingtonpost.com/the-seven/2022/12/14/what-to-know-for-december-14/,Wednesday December 14,2,0.8
"Wonder Woman 3 director Patty Jenkins ‘never walked away’, Rogue Squadron still alive - Polygon",14/12/2022 18:11,,en,https://www.polygon.com/23508767/wonder-woman-3-patty-jenkins-cancellation-rogue-squadron-dc-studios,Rogue Squadron Jenkins,3,0.8
"Chiefs, Bills, Vikings, 49ers, Cowboys can all clinch playoff berths in Week 15 - NBC Sports",14/12/2022 18:11,,en,https://profootballtalk.nbcsports.com/2022/12/14/chiefs-bills-vikings-49ers-cowboys-can-all-clinch-playoff-berths-in-week-15/,NFL Sports,2,0
"Grant Wahl, journalist who died at World Cup, suffered aortic aneurysm, wife says - The Washington Post",14/12/2022 18:11,,en,https://www.washingtonpost.com/sports/2022/12/14/grant-wahl-cause-of-death/,World Cup journalist,2,0
New polls: Trump's 2024 bid has a growing DeSantis problem - Axios,14/12/2022 18:11,,en,https://www.axios.com/2022/12/14/trump-desantis-polls-republican-primary-2024,Trump,1,0.5
Indian and Chinese troops fight with sticks and bricks in video - CNN,14/12/2022 18:11,,en,https://www.cnn.com/2022/12/14/asia/india-china-border-tensions-video-intl-hnk/index.html,India China conflict,2,0
"Feldman: Mike Leach’s original, influential life and the roller coaster on which it sent me - The Athletic",14/12/2022 18:11,,en,https://theathletic.com/3998015/2022/12/13/mike-leach-career-book-bruce-feldman/,Feldman Mike Leach,2,0.8
Only iPhones that can’t run iOS 16 are getting new iOS 15 updates - Ars Technica,14/12/2022 18:11,,en,https://arstechnica.com/gadgets/2022/12/apple-releases-ios-15-security-updates-for-devices-that-cant-upgrade-to-16/,iPhones update,2,0
2022: A Year of Success - NASA,14/12/2022 18:11,,en,https://www.youtube.com/watch?v=FSJC7XvyMXY,NASA,3,0
Oregon Gov. Kate Brown commutes sentences of state's 17 death row inmates - Fox News,14/12/2022 18:11,,en,https://www.foxnews.com/us/oregon-gov-kate-brown-commutes-sentences-states-17-death-row-inmates,Oregon death row,1,0
Covid cases explode in Beijing leaving city streets empty and daily life disrupted - CNN,14/12/2022 18:11,,en,https://www.cnn.com/2022/12/14/china/beijing-zero-covid-easing-streets-impact-intl-hnk-mic/index.html,covid china,1,0
